,BlindID,target.x,deltact,highestdelta,deltadeltact,rel_conc,Batch,Cage,BG,AnimalID,Sex
75,B3.4.2,SF-1,0.005268488,0.096000166,0.090731678,0.939046381,Batch3,1074455,26,1074455-2,F
76,B1.1,DAX1,0.156078763,0.233484286,0.077405523,0.947760525,Batch1,922587,17,922587-1,F
77,B1.2,DAX1,0.124201699,0.233484286,0.109282587,0.927048944,Batch1,922587,19,922587-2,F
78,B1.3,DAX1,0.147887069,0.233484286,0.085597216,0.942394343,Batch1,957162,17,957162-1,F
79,B1.5,DAX1,0.11853862,0.233484286,0.114945666,0.923417087,Batch1,941702,18,941702-1,M
80,B1.6,DAX1,0.055845547,0.233484286,0.177638739,0.8841489,Batch1,941702,17,941702-2,M
81,B1.7,DAX1,0.164392569,0.233484286,0.069091717,0.953237943,Batch1,941702,12,941702-3,M
82,B1.9,DAX1,0.124597987,0.233484286,0.108886299,0.927303626,Batch1,927693,19,927693-2,M
83,B2.1,DAX1,0.171304555,0.233484286,0.062179731,0.957815886,Batch2,990342,NA,990342-1,F
84,B2.2,DAX1,0.181048713,0.233484286,0.052435573,0.964307001,Batch2,990342,NA,990342-2,F
85,B2.3,DAX1,0.222895321,0.233484286,0.010588965,0.992687159,Batch2,1001363,NA,1001363-1,F
86,B2.4,DAX1,0.159938838,0.233484286,0.073545448,0.950299748,Batch2,1001363,NA,1001363-2,F
87,B3.1.1,DAX1,0.185267408,0.233484286,0.048216878,0.967130931,Batch3,1064394,22,1064394-1,M
88,B3.1.2,DAX1,0.131759559,0.233484286,0.101724727,0.931918227,Batch3,1064394,26,1064394-2,M
89,B3.3.1,DAX1,0.142470053,0.233484286,0.091014233,0.938862485,Batch3,1068572,24,1068572-1,M
90,B3.3.2,DAX1,0.071848878,0.233484286,0.161635408,0.894011065,Batch3,1068572,23,1068572-2,M
91,B3.3.3,DAX1,0.233484286,0.233484286,0,1,Batch3,1068572,18,1068572-3,M
92,B3.4.1,DAX1,0.172411348,0.233484286,0.061072938,0.958550976,Batch3,1074455,994804,1074455-1,F
93,B3.4.2,DAX1,0.097525494,0.233484286,0.135958792,0.910064818,Batch3,1074455,26,1074455-2,F
94,B3.5.1,DAX1,0.153781965,0.233484286,0.079702321,0.946252872,Batch3,1058108,853839,1058108-1,M
95,B3.5.2,DAX1,0.13407145,0.233484286,0.099412836,0.933412805,Batch3,1058108,853839,1058108-2,M
96,B3.5.3,DAX1,0.100230605,0.233484286,0.133253681,0.911772827,Batch3,1058108,853839,1058108-3,M
97,B1.4,DAX1,-0.012263929,0.233484286,0.245748215,0.843378287,Batch1,957162,12,957162-2,F
98,B1.8,DAX1,-0.01533906,0.233484286,0.248823346,0.841582526,Batch1,927693,19,927693-1,M
99,B3.2.1,DAX1,-0.00026063,0.233484286,0.233744916,0.850424511,Batch3,1062366,18,1062366-1,M
100,B3.2.2,DAX1,0.086963894,0.233484286,0.146520392,0.903426795,Batch3,1062366,18,1062366-2,M
101,B1.1,StAR,0.26094254,0.275388758,0.014446218,0.990036612,Batch1,922587,17,922587-1,F
102,B1.2,StAR,0.193638311,0.275388758,0.081750447,0.944910475,Batch1,922587,19,922587-2,F
103,B1.3,StAR,0.263211624,0.275388758,0.012177134,0.991594975,Batch1,957162,17,957162-1,F
104,B1.5,StAR,0.143252776,0.275388758,0.132135982,0.912479478,Batch1,941702,18,941702-1,M
105,B1.6,StAR,0.114694392,0.275388758,0.160694366,0.894594401,Batch1,941702,17,941702-2,M
106,B1.7,StAR,0.219434766,0.275388758,0.055953992,0.961958131,Batch1,941702,12,941702-3,M
107,B1.9,StAR,0.176309992,0.275388758,0.099078766,0.933628971,Batch1,927693,19,927693-2,M
108,B2.1,StAR,0.178178786,0.275388758,0.097209971,0.93483913,Batch2,990342,NA,990342-1,F
109,B2.2,StAR,0.172550195,0.275388758,0.102838563,0.931199015,Batch2,990342,NA,990342-2,F
110,B2.3,StAR,0.262371774,0.275388758,0.013016984,0.991017897,Batch2,1001363,NA,1001363-1,F
111,B2.4,StAR,0.164198599,0.275388758,0.111190159,0.925823983,Batch2,1001363,NA,1001363-2,F
112,B3.1.1,StAR,0.200592618,0.275388758,0.07479614,0.949476277,Batch3,1064394,22,1064394-1,M
113,B3.1.2,StAR,0.178825497,0.275388758,0.096563261,0.935258281,Batch3,1064394,26,1064394-2,M
114,B3.2.1,StAR,0.184928052,0.275388758,0.090460706,0.939222773,Batch3,1062366,18,1062366-1,M
115,B3.2.2,StAR,0.258234267,0.275388758,0.017154491,0.988179826,Batch3,1062366,18,1062366-2,M
116,B3.3.1,StAR,0.185281849,0.275388758,0.090106909,0.93945313,Batch3,1068572,24,1068572-1,M
117,B3.3.2,StAR,0.160077795,0.275388758,0.115310963,0.923183304,Batch3,1068572,23,1068572-2,M
118,B3.3.3,StAR,0.275388758,0.275388758,0,1,Batch3,1068572,18,1068572-3,M
119,B3.4.2,StAR,0.176772104,0.275388758,0.098616654,0.933928071,Batch3,1074455,26,1074455-2,F
120,B3.5.1,StAR,0.203470241,0.275388758,0.071918516,0.951372008,Batch3,1058108,853839,1058108-1,M
121,B3.5.2,StAR,0.186966173,0.275388758,0.088422585,0.940550567,Batch3,1058108,853839,1058108-2,M
122,B3.5.3,StAR,0.236434797,0.275388758,0.03895396,0.973360436,Batch3,1058108,853839,1058108-3,M
123,B1.4,StAR,0.102013916,0.275388758,0.173374841,0.886765876,Batch1,957162,12,957162-2,F
124,B1.8,StAR,0.196325627,0.275388758,0.079063131,0.946672205,Batch1,927693,19,927693-1,M
125,B3.4.1,StAR,0.135696402,0.275388758,0.139692356,0.907712698,Batch3,1074455,994804,1074455-1,F
