"","BlindID","target.x","GeneExpRat","Batch","Cage","BG","AnimalID","Sex"
"97","B1.5","Nrb01",1.05936987799384,"Batch1",941702,18,"941702-1","M"
"98","B1.6","Nrb01",1.01015691123966,"Batch1",941702,17,"941702-2","M"
"99","B1.7","Nrb01",1.09394932974888,"Batch1",941702,12,"941702-3","M"
"100","B1.9","Nrb01",1.06970998586049,"Batch1",927693,19,"927693-2","M"
"101","B2.1","Nrb01",1.10138024679281,"Batch2",990342,NA,"990342-1","F"
"102","B2.2","Nrb01",1.10387204638704,"Batch2",990342,NA,"990342-2","F"
"103","B2.3","Nrb01",1.14102696318693,"Batch2",1001363,NA,"1001363-1","F"
"104","B2.4","Nrb01",1.09354571210706,"Batch2",1001363,NA,"1001363-2","F"
"105","B3.1.1","Nrb01",1.11689743504538,"Batch3",1064394,22,"1064394-1","M"
"106","B3.1.2","Nrb01",1.08207265334102,"Batch3",1064394,26,"1064394-2","M"
"107","B3.3.1","Nrb01",1.0849782433407,"Batch3",1068572,24,"1068572-1","M"
"108","B3.3.2","Nrb01",1.03641815171809,"Batch3",1068572,23,"1068572-2","M"
"109","B3.3.3","Nrb01",1.15316925443042,"Batch3",1068572,18,"1068572-3","M"
"110","B3.4.1","Nrb01",1.11217212558758,"Batch3",1074455,994804,"1074455-1","F"
"111","B3.4.2","Nrb01",1.05631904574697,"Batch3",1074455,26,"1074455-2","F"
"112","B3.5.1","Nrb01",1.09638332105869,"Batch3",1058108,853839,"1058108-1","M"
"113","B3.5.2","Nrb01",1.08360681546094,"Batch3",1058108,853839,"1058108-2","M"
"114","B3.5.3","Nrb01",1.0563305609392,"Batch3",1058108,853839,"1058108-3","M"
"115","B1.4","Nrb01",0.973544328564894,"Batch1",957162,12,"957162-2","F"
"116","B1.4","StAR",1.09193467783331,"Batch1",957162,12,"957162-2","F"
"117","B1.6","Nr5a1",1.00223675979096,"Batch1",941702,17,"941702-2","M"
"118","B1.8","Nr5a1",1.01027107811547,"Batch1",927693,19,"927693-1","M"
"119","B1.8","Nrb01",0.967927729505827,"Batch1",927693,19,"927693-1","M"
"120","B1.8","StAR",1.18473905449205,"Batch1",927693,19,"927693-1","M"
"121","B3.2.1","Nrb01",0.993454224045805,"Batch3",1062366,18,"1062366-1","M"
"122","B3.2.2","Nrb01",1.04601769686346,"Batch3",1062366,18,"1062366-2","M"
"123","B3.4.1","StAR",1.12159464240775,"Batch3",1074455,994804,"1074455-1","F"
"124","B3.4.2","Cyp11a1",1.20263530974588,"Batch3",1074455,26,"1074455-2","F"
"125","B3.4.2","Nr5a1",0.997914344914644,"Batch3",1074455,26,"1074455-2","F"
"126","B1.1","Cyp11b1",0.892440734511033,"Batch1",922587,17,"922587-1","F"
"127","B1.2","Cyp11b1",1.06363037809174,"Batch1",922587,19,"922587-2","F"
"128","B1.3","Cyp11b1",0.951535475010968,"Batch1",957162,17,"957162-1","F"
"129","B1.4","Cyp11b1",0.979500324883316,"Batch1",957162,12,"957162-2","F"
"130","B1.5","Cyp11b1",1.06220328121223,"Batch1",941702,18,"941702-1","M"
"131","B1.6","Cyp11b1",1.09627576474978,"Batch1",941702,17,"941702-2","M"
"132","B1.7","Cyp11b1",1.06960501307237,"Batch1",941702,12,"941702-3","M"
